sku_internal_id,erp_code,product_name,cdKey,cdMiraGapRaw,cdTermDisplay,xLojas,rawSum,productionTotal,minFinalCd,p150TodayCd,dispTodayCd,error
3638,12731,"CAPACHO 0,60X1,20 KAP VINIL SILVER AZUL",Fábrica,1,1,6,7,7,1,1,0,
3639,73,TEC BLACKOUT 100% TEC/PVC FENDI,Fábrica,0,3,0,0,3,3,27.908981133137452,104.2,
3640,74,TEC BLACKOUT 100% TEC/PVC MARROM,Fábrica,38,38,0,38,38,3,37.70871975627131,0,
3641,72,TEC BLACKOUT 100% TEC/PVC GRAFITE,Fábrica,15,15,0,15,15,2,14.79223708768555,0,
3642,75,TEC LINHO SUISSO GRAFITE,Fábrica,2,2,0,2,2,1,1.5113087658788356,0,
3643,12739,CORTINA LUX UNICA BK100 MISTO FENDI 2.60X1.70,Fábrica,17,17,11,28,28,3,17.27548166813443,0,
3644,12737,CORTINA LUX UNICA BK100 MISTO GRAFITE 2.60X1.70,Fábrica,50,50,20,70,70,3,59.34151075054808,9,
3645,12741,CORTINA LUX UNICA BK100 MISTO MARROM 2.60X1.70,Fábrica,12,12,14,26,26,3,31.281480674654432,19,
3646,12734,CORTINA LUX UNICA BK100 MISTO BRANCO 2.60X2.60,Fábrica,4,4,8,12,12,1,6.244273668601341,2,
3647,12740,CORTINA LUX UNICA BK100 MISTO FENDI 2.60X2.60,Fábrica,1,1,8,9,9,1,1.3760126063817353,0,
3648,12738,CORTINA LUX UNICA BK100 MISTO GRAFITE 2.60X2.60,Fábrica,4,4,10,14,14,3,18.04457153405163,14,
3649,12742,CORTINA LUX UNICA BK100 MISTO MARROM 2.60X2.60,Fábrica,0,0,8,8,8,1,2.98662402525289,12,
3650,12736,CORTINA LUX UNICA BK100 MISTO PEROLA 2.60X2.60,Fábrica,17,17,9,26,26,3,16.928419165942458,0,
3651,12735,CORTINA LUX UNICA BK100 MISTO PRATA 2.60X2.60,Fábrica,5,5,8,13,13,2,14.064639023271804,9,
3652,12743,CORTINA LINHO SUISSO GRAFITE C/ MICROFRIBRA 4.00X2.60,Fábrica,1,1,8,9,9,1,1,0,
3653,12744,"TOALHA DE MESA XICARAS 4 LUG. 1,40X1,40",Fábrica,1,1,5,6,6,1,1,0,
3654,12745,"TOALHA DE MESA RENDA 4 LUG. 1,40X1,40",Fábrica,1,1,4,5,5,1,1,0,
3655,12746,"TOALHA DE MESA GOURMET 4 LUG. 1,40X1,40",Fábrica,1,1,8,9,9,1,1,0,
3656,12747,"TOALHA DE MESA XICARAS 6 LUG. 1,40X2,10",Fábrica,1,1,7,8,8,1,1,0,
3657,12748,"TOALHA DE MESA RENDA 6 LUG. 1,40X2,10",Fábrica,1,1,8,9,9,1,1,0,
3658,12749,"TOALHA DE MESA GOURMET 6 LUG. 1,40X2,10",Fábrica,1,1,6,7,7,1,1,0,
3659,12756,ABRAADEIRA IMA PEROLAS DOURADO,Fábrica,1,1,4,5,5,1,1,0,
3660,12757,SUPORTE P/ PERSIANA COM SANEFA,Fábrica,2,2,3,5,5,1,1.7715853421735501,0,
3661,12758,TUBO ILHOS 28MM CROMADO MT,Fábrica,1,1,8,9,9,1,1,0,
3662,12759,TUBO ILHOS 19MM CROMADO MT,Fábrica,1,1,5,6,6,1,1,0,
3663,12750,CORTINA LUX PRATIKA BLACK MISTO VOIL SLIN BRANCO 2.60X1.70,Fábrica,12,12,8,20,20,2,11.995329133468749,0,
3664,12752,CORTINA LUX PRATIKA BLACK MISTO VOIL SLIN PEROLA 2.60X1.70,Fábrica,5,5,9,14,14,1,4.539832780333971,0,
