sku_internal_id,erp_code,product_name,store,is_factory_or_cd,disponivel,fisico,vitrine,min_stock,alvo_p150,sugestao_unidades,ruptura_pct,unidades_perdidas_estimadas,prioridade,acao_sugerida,data_file
3049,12267,"""""""PERSIANA 2,00X2,00 ROLO MADA 281""""""",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3049.js
3050,K362,PERSIANA 2.00X2.00 ROLO RENO 362,Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3050.js
3050,K362,PERSIANA 2.00X2.00 ROLO RENO 362,Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3050.js
3050,K362,PERSIANA 2.00X2.00 ROLO RENO 362,Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3050.js
3051,12268,PERSIANA 2.00X2.00 ROLO RENO 364,Barreiro,false,0,0,1,,3,3,1.9231,2.5208,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3051.js
3051,12268,PERSIANA 2.00X2.00 ROLO RENO 364,Tupis,false,2,3,1,,3,1,1.9231,2.5208,EQUILIBRADO,Repor +1 u (vs. alvo P150),sku_3051.js
3051,12268,PERSIANA 2.00X2.00 ROLO RENO 364,Betim,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3051.js
3051,12268,PERSIANA 2.00X2.00 ROLO RENO 364,Babita,false,0,1,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3051.js
3051,12268,PERSIANA 2.00X2.00 ROLO RENO 364,Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3051.js
3052,12112,"TEC LINHO LINEN LOSANGO CRU 2,80 MT",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3052.js
3053,12113,"""""""TAPETE 0.66X1,10 VS OMEGA AZUL""""""",Barreiro,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3053.js
3053,12113,"""""""TAPETE 0.66X1,10 VS OMEGA AZUL""""""",Tupis,false,0,0,1,,3,3,1.9231,1.7303,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3053.js
3053,12113,"""""""TAPETE 0.66X1,10 VS OMEGA AZUL""""""",Eldorado 2,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3053.js
3053,12113,"""""""TAPETE 0.66X1,10 VS OMEGA AZUL""""""",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3053.js
3054,12114,"""""""TAPETE 0.66X1,10 VS OMEGA LARANJA""""""",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3054.js
3054,12114,"""""""TAPETE 0.66X1,10 VS OMEGA LARANJA""""""",Babita,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3054.js
3054,12114,"""""""TAPETE 0.66X1,10 VS OMEGA LARANJA""""""",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3054.js
3055,12115,"TAPETE 0,90X1,40 VS OMEGA LARANJA",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3055.js
3055,12115,"TAPETE 0,90X1,40 VS OMEGA LARANJA",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3055.js
3055,12115,"TAPETE 0,90X1,40 VS OMEGA LARANJA",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3055.js
3056,12116,"TAPETE 0,40X0,60 VS SIENA BEGE",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3056.js
3056,12116,"TAPETE 0,40X0,60 VS SIENA BEGE",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3056.js
3056,12116,"TAPETE 0,40X0,60 VS SIENA BEGE",Venda Nova,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3056.js
3056,12116,"TAPETE 0,40X0,60 VS SIENA BEGE",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3056.js
3057,12117,"TAPETE 0,67X1,10 VS SIENA BEGE",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3057.js
3057,12117,"TAPETE 0,67X1,10 VS SIENA BEGE",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3057.js
3057,12117,"TAPETE 0,67X1,10 VS SIENA BEGE",Guaranis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3057.js
3057,12117,"TAPETE 0,67X1,10 VS SIENA BEGE",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3057.js
3058,12118,"TAPETE 0,67X1,10 VS SIENA PRATA",Barreiro,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3058.js
3058,12118,"TAPETE 0,67X1,10 VS SIENA PRATA",Tupis,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3058.js
3058,12118,"TAPETE 0,67X1,10 VS SIENA PRATA",Guaranis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3058.js
3058,12118,"TAPETE 0,67X1,10 VS SIENA PRATA",Fábrica,true,0,0,0,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3058.js
3059,12119,"TAPETE 1,00X1,40 VS SIENA BEGE",Barreiro,false,0,0,1,,3,3,0.7692,0.3455,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3059.js
3059,12119,"TAPETE 1,00X1,40 VS SIENA BEGE",Tupis,false,0,0,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3059.js
3059,12119,"TAPETE 1,00X1,40 VS SIENA BEGE",Eldorado 2,false,0,0,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3059.js
3059,12119,"TAPETE 1,00X1,40 VS SIENA BEGE",Guaranis,false,0,1,1,,3,3,0,0,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3059.js
3059,12119,"TAPETE 1,00X1,40 VS SIENA BEGE",Betim,false,0,0,1,,3,3,1.9231,2.4391,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3059.js
3059,12119,"TAPETE 1,00X1,40 VS SIENA BEGE",Venda Nova,false,0,1,1,,3,3,1.9231,1.2604,ATENÇÃO,Repor +3 u (vs. alvo P150),sku_3059.js
