sku_internal_id,erp_code,product_name,store,demand,baseRep,minFinal,p150Today,dispToday,curveClass,ltDaysOperational,error
1920,9282,CORTINA SARON SOB MEDIDA,Tupis,1,1,1,1,0,C,16,
1920,9282,CORTINA SARON SOB MEDIDA,G2,1,1,1,1,0,C,16,
1920,9282,CORTINA SARON SOB MEDIDA,Betim,1,1,1,1,0,C,16,
1920,9282,CORTINA SARON SOB MEDIDA,Guaranis,3,0,3,38.88848546132814,998878,A,16,
1920,9282,CORTINA SARON SOB MEDIDA,Eldorado 2,1,1,1,1,0,C,16,
1920,9282,CORTINA SARON SOB MEDIDA,Web,1,1,1,1,0,C,16,
1921,9285,CORTINA BAINHA,G2,1,1,1,1,0,C,16,
1921,9285,CORTINA BAINHA,Tupis,1,1,1,1,0,C,16,
1921,9285,CORTINA BAINHA,Barreiro,1,1,1,1,0,C,16,
1921,9285,CORTINA BAINHA,Babita,1,1,1,1,0,C,16,
1921,9285,CORTINA BAINHA,Venda Nova,1,1,1,1,0,C,16,
1921,9285,CORTINA BAINHA,Guaranis,1,1,1,1,0,C,16,
1921,9285,CORTINA BAINHA,Betim,1,1,1,1,0,C,16,
1921,9285,CORTINA BAINHA,Eldorado 2,1,1,1,1,0,C,16,
1921,9285,CORTINA BAINHA,Web,1,1,1,1,0,C,16,
1922,K158,PERSIANA 1.50x1.70 TEC BLACK-OUT 158,Betim,1,1,1,1,0,C,16,
1922,K158,PERSIANA 1.50x1.70 TEC BLACK-OUT 158,Barreiro,1,1,1,1,0,C,16,
1922,K158,PERSIANA 1.50x1.70 TEC BLACK-OUT 158,G2,1,1,1,1,0,C,16,
1924,K319,PERSIANA 1.50x1.70 TEC LIGHT 319,Tupis,1,1,1,1,0,C,16,
1924,K319,PERSIANA 1.50x1.70 TEC LIGHT 319,Barreiro,1,1,1,1,0,C,16,
1924,K319,PERSIANA 1.50x1.70 TEC LIGHT 319,Betim,1,1,1,1,0,C,16,
1924,K319,PERSIANA 1.50x1.70 TEC LIGHT 319,Babita,1,1,1,1,0,C,16,
1926,K338,PERSIANA 1.50x1.70 TEC BLACK-OUT 338,Barreiro,1,1,1,1,0,C,16,
1926,K338,PERSIANA 1.50x1.70 TEC BLACK-OUT 338,Babita,1,1,1,1,0,C,16,
1926,K338,PERSIANA 1.50x1.70 TEC BLACK-OUT 338,G2,1,1,1,1,0,C,16,
1928,11117,CORTINA COZ OXFORD LEGUMES BEGE 2.60X1.30,Guaranis,1,1,1,1,0,C,10,
1928,11117,CORTINA COZ OXFORD LEGUMES BEGE 2.60X1.30,Betim,1,1,1,1,0,C,5,
1928,11117,CORTINA COZ OXFORD LEGUMES BEGE 2.60X1.30,Barreiro,1,1,1,1,0,C,6,
1928,11117,CORTINA COZ OXFORD LEGUMES BEGE 2.60X1.30,G2,1,1,1,1,0,C,16,
1928,11117,CORTINA COZ OXFORD LEGUMES BEGE 2.60X1.30,Venda Nova,1,1,1,1,0,C,16,
1928,11117,CORTINA COZ OXFORD LEGUMES BEGE 2.60X1.30,Tupis,1,1,1,1,0,C,3,
1928,11117,CORTINA COZ OXFORD LEGUMES BEGE 2.60X1.30,Babita,1,1,1,1,0,C,16,
